customer_id,company_name,industry,company_size_band,country,signup_date,plan_tier
CUST-0001,Alder Communications K.K.,Telecommunications,201-500,Japan,2023-11-22,Growth
CUST-0002,Crestline Consulting Pty Ltd,Professional Services,"1,000+",Australia,2023-03-05,Professional
CUST-0003,Crestline Hospitality SAS,Hospitality & Travel,201-500,France,2024-04-05,Professional
CUST-0004,Windham Underwriters LLC,Insurance,51-200,United States,2023-10-08,Growth
CUST-0005,Meadow Initiative Inc.,Nonprofit & Public Sector,51-200,United States,2022-12-26,Growth
CUST-0006,Palisade Hotels S.A.,Hospitality & Travel,51-200,Spain,2023-02-25,Professional
CUST-0007,Highland Supply Corp.,Logistics & Supply Chain,201-500,United States,2022-06-06,Enterprise
CUST-0008,Driftwood Partners NV,Professional Services,51-200,Belgium,2/17/2023,Growth
CUST-0009,Thistle Trust LLC,Financial Services,1-10,United States,2025-06-13,Growth
CUST-0010,Amber Entertainment Ltd.,Media & Entertainment,201-500,United Kingdom,2025-02-20,Professional
CUST-0011,Vista Grid SA,Energy & Utilities,51-200,France,2024-12-27,Professional
CUST-0012,Fern Medical AB,Healthcare & Life Sciences,"1,000+",Sweden,2022-03-01,Growth
CUST-0013,Lakeshore Travel Ltd.,Hospitality & Travel,11-50,Canada,10/4/2022,Growth
CUST-0014,Falcon Networks A/S,Software & Technology,11-50,Denmark,2025-01-20,Growth
CUST-0015,Fern Estates Inc.,Real Estate & Construction,51-200,United States,2025-06-04,Professional
CUST-0016,Cobalt Renewables GmbH,Energy & Utilities,201-500,Switzerland,2022-11-24,Growth
CUST-0017,Meadow Cloud Pty Ltd,Software & Technology,11-50,Australia,9/16/2025,Starter
CUST-0018,Wren Alliance Pty Ltd,Nonprofit & Public Sector,11-50,Australia,2024-03-22,Professional
CUST-0019,Wren Networks Ltd.,Telecommunications,201-500,United Kingdom,2023-11-24,Growth
CUST-0020,Halden Associates Pty Ltd,Professional Services,"501-1,000",Australia,8/27/2024,Professional
CUST-0021,Falcon Telecom B.V.,Telecommunications,51-200,Netherlands,2023-02-07,Growth
CUST-0022,Halden Initiative Ltd.,Nonprofit & Public Sector,201-500,United Kingdom,2024-01-14,Professional
CUST-0023,Thistle Outfitters Sp. z o.o.,Retail & E-commerce,"1,000+",Poland,2024-02-27,Professional
CUST-0024,Hollow Biosciences Pty Ltd,Healthcare & Life Sciences,201-500,Australia,2022-07-04,Professional
CUST-0025,Copper Institute B.V.,Higher Education,51-200,Netherlands,2025-05-10,Starter
CUST-0026,Harbor Insurance Ltd.,Insurance,11-50,United Kingdom,2024-07-07,Starter
CUST-0027,Larch Capital SAS,Financial Services,201-500,France,2023-03-21,Enterprise
CUST-0028,Hollow Entertainment GmbH,Media & Entertainment,201-500,Germany,2025-10-19,Professional
CUST-0029,Ember Health Ltd.,Healthcare & Life Sciences,11-50,Canada,2022-11-10,Starter
